date,price,ticker
2025-02-21,99.50244903564453,STX
2025-02-24,98.74273681640625,STX
2025-02-25,98.38754272460938,STX
2025-02-26,98.93019104003906,STX
2025-02-27,99.3248519897461,STX
2025-02-28,100.54828643798828,STX
2025-03-03,98.7229995727539,STX
2025-03-04,92.82290649414062,STX
2025-03-05,91.19495391845703,STX
2025-03-06,85.4823226928711,STX
2025-03-07,86.82414245605469,STX
2025-03-10,85.2553939819336,STX
2025-03-11,85.80791473388672,STX
2025-03-12,85.57112121582031,STX
2025-03-13,84.4759521484375,STX
2025-03-14,86.7254867553711,STX
2025-03-17,89.30061340332031,STX
2025-03-18,87.45559692382812,STX
2025-03-19,88.46026611328125,STX
2025-03-20,87.91316223144531,STX
2025-03-21,87.80374908447266,STX
2025-03-24,88.32099914550781,STX
2025-03-25,87.4953842163086,STX
2025-03-26,87.16712951660156,STX
2025-03-27,87.0378189086914,STX
2025-03-28,84.47144317626953,STX
2025-03-31,84.50128173828125,STX
2025-04-01,84.09345245361328,STX
2025-04-02,85.06826782226562,STX
2025-04-03,71.15216827392578,STX
2025-04-04,66.37752532958984,STX
2025-04-07,68.29733276367188,STX
2025-04-08,66.18852996826172,STX
2025-04-09,73.89759063720703,STX
2025-04-10,69.37162017822266,STX
2025-04-11,69.77946472167969,STX
2025-04-14,72.28614807128906,STX
2025-04-15,71.61968994140625,STX
2025-04-16,72.43535614013672,STX
2025-04-17,75.37972259521484,STX
2025-04-21,73.53949737548828,STX
2025-04-22,74.96194458007812,STX
2025-04-23,77.6775131225586,STX
2025-04-24,82.60137176513672,STX
2025-04-25,82.26316833496094,STX
2025-04-28,81.72602844238281,STX
2025-04-29,81.16897583007812,STX
2025-04-30,90.5491714477539,STX
2025-05-01,89.53456115722656,STX
2025-05-02,92.5783920288086,STX
2025-05-05,93.08570098876953,STX
2025-05-06,93.40401458740234,STX
2025-05-07,94.9458236694336,STX
2025-05-08,95.79133605957031,STX
2025-05-09,95.20445251464844,STX
2025-05-12,101.41148376464844,STX
2025-05-13,104.91289520263672,STX
2025-05-14,104.6343765258789,STX
2025-05-15,106.86254119873047,STX
2025-05-16,107.22064208984375,STX
2025-05-19,108.46404266357422,STX
2025-05-20,106.40497589111328,STX
2025-05-21,103.87838745117188,STX
2025-05-22,108.28498840332031,STX
2025-05-23,112.14449310302734,STX
2025-05-27,116.43173217773438,STX
2025-05-28,116.7201919555664,STX
2025-05-29,117.5159683227539,STX
2025-05-30,117.31703186035156,STX
2025-06-02,118.52063751220703,STX
2025-06-03,122.57908630371094,STX
2025-06-04,126.96578979492188,STX
2025-06-05,127.02547454833984,STX
2025-06-06,126.29933166503906,STX
2025-06-09,129.482421875,STX
2025-06-10,127.3139419555664,STX
2025-06-11,125.82186126708984,STX
2025-06-12,125.40408325195312,STX
2025-06-13,126.59774017333984,STX
2025-06-16,130.3478240966797,STX
2025-06-17,130.17872619628906,STX
2025-06-18,130.60646057128906,STX
2025-06-20,130.2682647705078,STX
2025-06-23,132.37705993652344,STX
2025-06-24,135.58999633789062,STX
2025-06-25,138.5399932861328,STX
2025-06-26,140.69000244140625,STX
2025-06-27,141.44000244140625,STX
2025-06-30,144.3300018310547,STX
2025-07-01,145.0399932861328,STX
2025-07-02,151.94000244140625,STX
2025-07-03,149.44000244140625,STX
2025-07-07,148.38999938964844,STX
2025-07-08,144.47000122070312,STX
2025-07-09,142.00999450683594,STX
2025-07-10,144.5,STX
2025-07-11,147.17999267578125,STX
2025-07-14,149.0800018310547,STX
2025-07-15,149.0500030517578,STX
2025-07-16,147.1199951171875,STX
2025-07-17,146.72000122070312,STX
2025-07-18,149.07000732421875,STX
2025-07-21,149.6300048828125,STX
2025-07-22,146.58999633789062,STX
2025-07-23,152.75999450683594,STX
2025-07-24,152.72999572753906,STX
2025-07-25,150.88999938964844,STX
2025-07-28,150.4600067138672,STX
2025-07-29,152.67999267578125,STX
2025-07-30,147.4199981689453,STX
2025-07-31,157.00999450683594,STX
2025-08-01,154.80999755859375,STX
2025-08-04,154.80999755859375,STX
2025-08-05,151.74000549316406,STX
2025-08-06,147.27000427246094,STX
2025-08-07,148.10000610351562,STX
2025-08-08,150.4499969482422,STX
2025-08-11,151.69000244140625,STX
2025-08-12,155.58999633789062,STX
2025-08-13,156.9199981689453,STX
2025-08-14,155.72999572753906,STX
2025-08-15,154.42999267578125,STX
2025-08-18,158.6999969482422,STX
2025-08-19,157.92999267578125,STX
2025-08-20,158.39999389648438,STX
